Serial Number,Assamese Text,Sentiment,English Translation
6694,এই হোটেলৰ পৰিবেশ খুব দুঃখজনক আৰু মই হতাশ।,negative,The environment of this hotel is very sad and I'm disappointed.
6695,এই অ্যাপ মোৰ আশাতকৈ অধিক অধিক মূল্য।,negative,This app is more overpriced than I expected.
6696,মই ফোনৰ সুবিধা লৈ যথেষ্ট বেহুদা; সেয়া দুখজনক।,negative,I'm quite pointless with the convenience of this phone; it's unfortunate.
6697,এই বেংক সেৱাৰ সুবিধা বেয়া; মই পুনৰ নাযাম।,negative,The convenience of this bank service is bad; I won't go again.
6698,এই খেলা ম্যাচৰ কাৰ্যক্ষমতা খুব দুঃখজনক আৰু মই হতাশ।,negative,The performance of this sports match is very sad and I'm disappointed.
6699,এই সাধাৰণ সেৱা ডিব্ৰুগড়ত সৰ্বাধিক নিম্ন মান অভিজ্ঞতা দিছে।,negative,This service gave the most low quality experience in Dibrugarh.
6700,এই মুভি মোৰ আশাতকৈ অধিক ধীৰ।,negative,This movie is more slow than I expected.
6701,এই অনলাইন দোকান ডেলিত সৰ্বাধিক অস্বস্তিকৰ অভিজ্ঞতা দিছে।,negative,This online shop gave the most uncomfortable experience in Delhi.
6702,মই বেকাৰীৰ প্ৰতিক্ৰিয়া লৈ যথেষ্ট হতাশাজনক; সেয়া দুখজনক।,negative,I'm quite disappointing with the response of this bakery; it's unfortunate.
6703,মই মুভিৰ গতি লৈ যথেষ্ট হতাশাজনক; সেয়া দুখজনক।,negative,I'm quite disappointing with the speed of this movie; it's unfortunate.
6704,এই অনলাইন দোকান মুম্বাইত সৰ্বাধিক অধিক মূল্য অভিজ্ঞতা দিছে।,negative,This online shop gave the most overpriced experience in Mumbai.
6705,মই বাতৰিবাৰ্তাৰ সুবিধা লৈ যথেষ্ট অতি বেয়া; সেয়া দুখজনক।,negative,I'm quite very bad with the convenience of this news article; it's unfortunate.
6706,এই কফি দোকানৰ সুবিধা খুব ধীৰ আৰু মই হতাশ।,negative,The convenience of this coffee shop is very slow and I'm disappointed.
6707,এই খেলা ম্যাচ কলকাতাত সৰ্বাধিক নিম্ন মান অভিজ্ঞতা দিছে।,negative,This sports match gave the most low quality experience in Kolkata.
6708,মই লেপটপৰ ডিজাইন লৈ যথেষ্ট অতি বেয়া; সেয়া দুখজনক।,negative,I'm quite very bad with the design of this laptop; it's unfortunate.
6709,মই খানা উপভোগ কৰি খুব বেহুদা অনুভৱ কৰিছোঁ।,negative,Engaging with the food item makes me feel very pointless.
6710,এই বাচ সেৱাৰ পৰিবেশ দুঃখজনক; মই পুনৰ নাযাম।,negative,The environment of this bus service is sad; I won't go again.
6711,এই ভ্ৰমণৰ সেৱা দুঃখজনক; মই পুনৰ নাযাম।,negative,The service of this trip is sad; I won't go again.
6712,মই অনলাইন দোকানৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই দুঃখজনক।,negative,I had a bad experience with the online shop; it is sad.
6713,এই বই নিম্ন মান আৰু সময় নষ্ট।,negative,This book is low quality and a waste of time.
6714,মই উৎসৱৰ পৰিবেশ লৈ যথেষ্ট অতি বেয়া; সেয়া দুখজনক।,negative,I'm quite very bad with the environment of this festival; it's unfortunate.
6715,এই গাড়ী চেন্নাইত সৰ্বাধিক ধীৰ অভিজ্ঞতা দিছে।,negative,This car gave the most slow experience in Chennai.
6716,মই অনলাইন দোকানৰ ডিজাইন লৈ যথেষ্ট নিম্ন মান; সেয়া দুখজনক।,negative,I'm quite low quality with the design of this online shop; it's unfortunate.
6717,এই কফি দোকান মোৰ আশাতকৈ অধিক অতি বেয়া।,negative,This coffee shop is more very bad than I expected.
6718,মই উৎসৱ উপভোগ কৰি খুব বেহুদা অনুভৱ কৰিছোঁ।,negative,Engaging with the festival makes me feel very pointless.
6719,এই গাড়ী মোৰ আশাতকৈ অধিক ধীৰ।,negative,This car is more slow than I expected.
6720,মই ট্ৰেইন সেৱাৰ পৰিবেশ লৈ যথেষ্ট দুঃখজনক; সেয়া দুখজনক।,negative,I'm quite sad with the environment of this train service; it's unfortunate.
6721,এই গাড়ী মোৰ আশাতকৈ অধিক বেয়া।,negative,This car is more bad than I expected.
6722,এই বই গুৱাহাটীত সৰ্বাধিক অধিক মূল্য অভিজ্ঞতা দিছে।,negative,This book gave the most overpriced experience in Guwahati.
6723,এই সাধাৰণ সেৱা হতাশাজনক আৰু সময় নষ্ট।,negative,This service is disappointing and a waste of time.
6724,মই গান এলবামৰ পৰিবেশ লৈ যথেষ্ট অখুশী; সেয়া দুখজনক।,negative,I'm quite unhappy with the environment of this music album; it's unfortunate.
6725,মই বাতৰিবাৰ্তাৰ মান লৈ যথেষ্ট বিরক্তিকৰ; সেয়া দুখজনক।,negative,I'm quite annoying with the quality of this news article; it's unfortunate.
6726,এই লেপটপ ডেলিত সৰ্বাধিক বেয়া অভিজ্ঞতা দিছে।,negative,This laptop gave the most bad experience in Delhi.
6727,এই হোটেলৰ সেৱা নিম্ন মান; মই পুনৰ নাযাম।,negative,The service of this hotel is low quality; I won't go again.
6728,এই খেল গুৱাহাটীত সৰ্বাধিক অধিক মূল্য অভিজ্ঞতা দিছে।,negative,This game gave the most overpriced experience in Guwahati.
6729,মই লেপটপৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই অধিক মূল্য।,negative,I had a bad experience with the laptop; it is overpriced.
6730,এই ৰেষ্টুৰাণ্টৰ সুবিধা বেহুদা; মই পুনৰ নাযাম।,negative,The convenience of this restaurant is pointless; I won't go again.
6731,এই বাচ সেৱা বেংগালুরুত সৰ্বাধিক হতাশাজনক অভিজ্ঞতা দিছে।,negative,This bus service gave the most disappointing experience in Bangalore.
6732,এই ৰেষ্টুৰাণ্টৰ বাতাবৰণ খুব অখুশী আৰু মই হতাশ।,negative,The ambience of this restaurant is very unhappy and I'm disappointed.
6733,এই খেলা ম্যাচ কলকাতাত সৰ্বাধিক বেয়া অভিজ্ঞতা দিছে।,negative,This sports match gave the most bad experience in Kolkata.
6734,মই ফিল্ম উপভোগ কৰি খুব দুঃখজনক অনুভৱ কৰিছোঁ।,negative,Engaging with the film makes me feel very sad.
6735,মই কেমেৰা উপভোগ কৰি খুব অধিক মূল্য অনুভৱ কৰিছোঁ।,negative,Engaging with the camera makes me feel very overpriced.
6736,এই কফি দোকান শিলচৰত সৰ্বাধিক নিম্ন মান অভিজ্ঞতা দিছে।,negative,This coffee shop gave the most low quality experience in Silchar.
6737,এই বাচ সেৱাৰ সময়সূচী হতাশাজনক; মই পুনৰ নাযাম।,negative,The schedule of this bus service is disappointing; I won't go again.
6738,এই বাচ সেৱা ডিব্ৰুগড়ত সৰ্বাধিক ধীৰ অভিজ্ঞতা দিছে।,negative,This bus service gave the most slow experience in Dibrugarh.
6739,এই বেংক সেৱাৰ সেৱা ধীৰ; মই পুনৰ নাযাম।,negative,The service of this bank service is slow; I won't go again.
6740,এই মিউজিক ভিডিঅ’ৰ সংগীত বেয়া; মই পুনৰ নাযাম।,negative,The music of this music video is bad; I won't go again.
6741,মই গান এলবামৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই অতি বেয়া।,negative,I had a bad experience with the music album; it is very bad.
6742,এই কফি দোকান চেন্নাইত সৰ্বাধিক বিরক্তিকৰ অভিজ্ঞতা দিছে।,negative,This coffee shop gave the most annoying experience in Chennai.
6743,এই বাচ সেৱা ডেলিত সৰ্বাধিক অধিক মূল্য অভিজ্ঞতা দিছে।,negative,This bus service gave the most overpriced experience in Delhi.
6744,মই ভ্ৰমণৰ পৰিস্কাৰ-চোঙা লৈ যথেষ্ট বেয়া; সেয়া দুখজনক।,negative,I'm quite bad with the cleanliness of this trip; it's unfortunate.
6745,এই মিউজিক ভিডিঅ’ৰ পৰিবেশ খুব নিম্ন মান আৰু মই হতাশ।,negative,The environment of this music video is very low quality and I'm disappointed.
6746,মই ফিল্মৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই অতি বেয়া।,negative,I had a bad experience with the film; it is very bad.
6747,এই বই মোৰ আশাতকৈ অধিক বিরক্তিকৰ।,negative,This book is more annoying than I expected.
6748,মই কফি দোকানৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই নিম্ন মান।,negative,I had a bad experience with the coffee shop; it is low quality.
6749,এই ট্ৰেইন সেৱা টিনিচুকিয়াত সৰ্বাধিক বিরক্তিকৰ অভিজ্ঞতা দিছে।,negative,This train service gave the most annoying experience in Tinsukia.
6750,এই ফিল্ম যোৰহাটত সৰ্বাধিক বেয়া অভিজ্ঞতা দিছে।,negative,This film gave the most bad experience in Jorhat.
6751,এই বেকাৰী হতাশাজনক আৰু সময় নষ্ট।,negative,This bakery is disappointing and a waste of time.
6752,মই লেপটপৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই বিরক্তিকৰ।,negative,I had a bad experience with the laptop; it is annoying.
6753,এই ফিল্মৰ কাৰ্যক্ষমতা খুব বেয়া আৰু মই হতাশ।,negative,The performance of this film is very bad and I'm disappointed.
6754,মই সাধাৰণ সেৱাৰ পৰিস্কাৰ-চোঙা লৈ যথেষ্ট নিম্ন মান; সেয়া দুখজনক।,negative,I'm quite low quality with the cleanliness of this service; it's unfortunate.
6755,এই অ্যাপৰ সেৱা অতি বেয়া; মই পুনৰ নাযাম।,negative,The service of this app is very bad; I won't go again.
6756,মই গাড়ীৰ গতি লৈ যথেষ্ট বিরক্তিকৰ; সেয়া দুখজনক।,negative,I'm quite annoying with the speed of this car; it's unfortunate.
6757,মই অ্যাপৰ গতি লৈ যথেষ্ট অস্বস্তিকৰ; সেয়া দুখজনক।,negative,I'm quite uncomfortable with the speed of this app; it's unfortunate.
6758,এই অ্যাপ শিলচৰত সৰ্বাধিক দুঃখজনক অভিজ্ঞতা দিছে।,negative,This app gave the most sad experience in Silchar.
6759,এই খেল হতাশাজনক আৰু সময় নষ্ট।,negative,This game is disappointing and a waste of time.
6760,এই বেংক সেৱাৰ মূল্য হতাশাজনক; মই পুনৰ নাযাম।,negative,The price of this bank service is disappointing; I won't go again.
6761,এই অনলাইন দোকানৰ ডিজাইন খুব হতাশাজনক আৰু মই হতাশ।,negative,The design of this online shop is very disappointing and I'm disappointed.
6762,মই ট্ৰেইন সেৱাৰ সময়সূচী লৈ যথেষ্ট হতাশাজনক; সেয়া দুখজনক।,negative,I'm quite disappointing with the schedule of this train service; it's unfortunate.
6763,মই মিউজিক ভিডিঅ’ৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই দুঃখজনক।,negative,I had a bad experience with the music video; it is sad.
6764,মই মুভিৰ পৰিবেশ লৈ যথেষ্ট দুঃখজনক; সেয়া দুখজনক।,negative,I'm quite sad with the environment of this movie; it's unfortunate.
6765,এই বেংক সেৱা ডিব্ৰুগড়ত সৰ্বাধিক অতি বেয়া অভিজ্ঞতা দিছে।,negative,This bank service gave the most very bad experience in Dibrugarh.
6766,মই লেপটপ উপভোগ কৰি খুব দুঃখজনক অনুভৱ কৰিছোঁ।,negative,Engaging with the laptop makes me feel very sad.
6767,এই কফি দোকানৰ মান অতি বেয়া; মই পুনৰ নাযাম।,negative,The quality of this coffee shop is very bad; I won't go again.
6768,মই ভ্ৰমণৰ সময়সূচী লৈ যথেষ্ট অধিক মূল্য; সেয়া দুখজনক।,negative,I'm quite overpriced with the schedule of this trip; it's unfortunate.
6769,মই খেলা ম্যাচৰ সময়সূচী লৈ যথেষ্ট অধিক মূল্য; সেয়া দুখজনক।,negative,I'm quite overpriced with the schedule of this sports match; it's unfortunate.
6770,মই অনলাইন দোকানৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই অস্বস্তিকৰ।,negative,I had a bad experience with the online shop; it is uncomfortable.
6771,মই সাধাৰণ সেৱাৰ মান লৈ যথেষ্ট হতাশাজনক; সেয়া দুখজনক।,negative,I'm quite disappointing with the quality of this service; it's unfortunate.
6772,মই মুভিৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই বেয়া।,negative,I had a bad experience with the movie; it is bad.
6773,মই খেলৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই নিম্ন মান।,negative,I had a bad experience with the game; it is low quality.
6774,মই ফোনৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই দুঃখজনক।,negative,I had a bad experience with the phone; it is sad.
6775,এই হোটেল মুম্বাইত সৰ্বাধিক অখুশী অভিজ্ঞতা দিছে।,negative,This hotel gave the most unhappy experience in Mumbai.
6776,এই অনলাইন দোকান যোৰহাটত সৰ্বাধিক অধিক মূল্য অভিজ্ঞতা দিছে।,negative,This online shop gave the most overpriced experience in Jorhat.
6777,এই ফোন মোৰ আশাতকৈ অধিক নিম্ন মান।,negative,This phone is more low quality than I expected.
6778,এই বাচ সেৱাৰ সেৱা বেয়া; মই পুনৰ নাযাম।,negative,The service of this bus service is bad; I won't go again.
6779,এই হোটেল মোৰ আশাতকৈ অধিক দুঃখজনক।,negative,This hotel is more sad than I expected.
6780,মই সাধাৰণ সেৱাৰ প্ৰতিক্ৰিয়া লৈ যথেষ্ট হতাশাজনক; সেয়া দুখজনক।,negative,I'm quite disappointing with the response of this service; it's unfortunate.
6781,এই বই হতাশাজনক আৰু সময় নষ্ট।,negative,This book is disappointing and a waste of time.
6782,এই খেল অধিক মূল্য আৰু সময় নষ্ট।,negative,This game is overpriced and a waste of time.
6783,মই কেমেৰা উপভোগ কৰি খুব বেয়া অনুভৱ কৰিছোঁ।,negative,Engaging with the camera makes me feel very bad.
6784,এই অনলাইন দোকানৰ গতি হতাশাজনক; মই পুনৰ নাযাম।,negative,The speed of this online shop is disappointing; I won't go again.
6785,এই বাচ সেৱাৰ মান খুব বেয়া আৰু মই হতাশ।,negative,The quality of this bus service is very bad and I'm disappointed.
6786,এই বাতৰিবাৰ্তা চেন্নাইত সৰ্বাধিক দুঃখজনক অভিজ্ঞতা দিছে।,negative,This news article gave the most sad experience in Chennai.
6787,মই খানাৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই অতি বেয়া।,negative,I had a bad experience with the food item; it is very bad.
6788,এই লেপটপ মোৰ আশাতকৈ অধিক অখুশী।,negative,This laptop is more unhappy than I expected.
6789,এই অনলাইন দোকানৰ মূল্য ধীৰ; মই পুনৰ নাযাম।,negative,The price of this online shop is slow; I won't go again.
6790,এই ট্ৰেইন সেৱা শিলচৰত সৰ্বাধিক হতাশাজনক অভিজ্ঞতা দিছে।,negative,This train service gave the most disappointing experience in Silchar.
6791,এই অ্যাপৰ প্ৰতিক্ৰিয়া খুব নিম্ন মান আৰু মই হতাশ।,negative,The response of this app is very low quality and I'm disappointed.
6792,এই কেমেৰাৰ ডেলিভাৰী বিরক্তিকৰ; মই পুনৰ নাযাম।,negative,The delivery of this camera is annoying; I won't go again.
6793,এই গাড়ী টিনিচুকিয়াত সৰ্বাধিক অতি বেয়া অভিজ্ঞতা দিছে।,negative,This car gave the most very bad experience in Tinsukia.
6794,এই বাচ সেৱা অস্বস্তিকৰ আৰু সময় নষ্ট।,negative,This bus service is uncomfortable and a waste of time.
6795,এই ৰেষ্টুৰাণ্ট ডিব্ৰুগড়ত সৰ্বাধিক বিরক্তিকৰ অভিজ্ঞতা দিছে।,negative,This restaurant gave the most annoying experience in Dibrugarh.
6796,এই গাড়ী মোৰ আশাতকৈ অধিক অধিক মূল্য।,negative,This car is more overpriced than I expected.
6797,এই ফোন ডেলিত সৰ্বাধিক অখুশী অভিজ্ঞতা দিছে।,negative,This phone gave the most unhappy experience in Delhi.
6798,এই উৎসৱৰ সময়সূচী ধীৰ; মই পুনৰ নাযাম।,negative,The schedule of this festival is slow; I won't go again.
6799,এই অনলাইন দোকান চেন্নাইত সৰ্বাধিক হতাশাজনক অভিজ্ঞতা দিছে।,negative,This online shop gave the most disappointing experience in Chennai.
6800,মই বেংক সেৱাৰ গতি লৈ যথেষ্ট ধীৰ; সেয়া দুখজনক।,negative,I'm quite slow with the speed of this bank service; it's unfortunate.
6801,মই বাতৰিবাৰ্তা উপভোগ কৰি খুব অতি বেয়া অনুভৱ কৰিছোঁ।,negative,Engaging with the news article makes me feel very very bad.
6802,এই ৰেষ্টুৰাণ্ট কলকাতাত সৰ্বাধিক দুঃখজনক অভিজ্ঞতা দিছে।,negative,This restaurant gave the most sad experience in Kolkata.
6803,এই গান এলবাম মোৰ আশাতকৈ অধিক অতি বেয়া।,negative,This music album is more very bad than I expected.
6804,এই বাচ সেৱা বেংগালুরুত সৰ্বাধিক অতি বেয়া অভিজ্ঞতা দিছে।,negative,This bus service gave the most very bad experience in Bangalore.
6805,এই সাধাৰণ সেৱাৰ পৰিস্কাৰ-চোঙা খুব দুঃখজনক আৰু মই হতাশ।,negative,The cleanliness of this service is very sad and I'm disappointed.
6806,মই অ্যাপৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই বেহুদা।,negative,I had a bad experience with the app; it is pointless.
6807,এই ৰেষ্টুৰাণ্টৰ স্বাদ বেয়া; মই পুনৰ নাযাম।,negative,The taste of this restaurant is bad; I won't go again.
6808,এই মুভিৰ গতি নিম্ন মান; মই পুনৰ নাযাম।,negative,The speed of this movie is low quality; I won't go again.
6809,এই সাধাৰণ সেৱাৰ প্ৰতিক্ৰিয়া খুব অস্বস্তিকৰ আৰু মই হতাশ।,negative,The response of this service is very uncomfortable and I'm disappointed.
6810,এই বই অতি বেয়া আৰু সময় নষ্ট।,negative,This book is very bad and a waste of time.
6811,এই ট্ৰেইন সেৱাৰ সেৱা হতাশাজনক; মই পুনৰ নাযাম।,negative,The service of this train service is disappointing; I won't go again.
6812,এই বাতৰিবাৰ্তাৰ কাহিনী খুব অধিক মূল্য আৰু মই হতাশ।,negative,The story of this news article is very overpriced and I'm disappointed.
6813,এই খেলা ম্যাচ অখুশী আৰু সময় নষ্ট।,negative,This sports match is unhappy and a waste of time.
6814,মই গান এলবামৰ ডিজাইন লৈ যথেষ্ট অস্বস্তিকৰ; সেয়া দুখজনক।,negative,I'm quite uncomfortable with the design of this music album; it's unfortunate.
6815,এই খেলৰ পৰিবেশ খুব বিরক্তিকৰ আৰু মই হতাশ।,negative,The environment of this game is very annoying and I'm disappointed.
6816,মই হোটেলৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই হতাশাজনক।,negative,I had a bad experience with the hotel; it is disappointing.
6817,এই বেকাৰীৰ মূল্য খুব অস্বস্তিকৰ আৰু মই হতাশ।,negative,The price of this bakery is very uncomfortable and I'm disappointed.
6818,এই খানা দুঃখজনক আৰু সময় নষ্ট।,negative,This food item is sad and a waste of time.
6819,মই কফি দোকানৰ সুবিধা লৈ যথেষ্ট বেহুদা; সেয়া দুখজনক।,negative,I'm quite pointless with the convenience of this coffee shop; it's unfortunate.
6820,মই লেপটপ উপভোগ কৰি খুব বিরক্তিকৰ অনুভৱ কৰিছোঁ।,negative,Engaging with the laptop makes me feel very annoying.
6821,এই গাড়ীৰ ডেলিভাৰী বেয়া; মই পুনৰ নাযাম।,negative,The delivery of this car is bad; I won't go again.
6822,মই বেকাৰী উপভোগ কৰি খুব বেহুদা অনুভৱ কৰিছোঁ।,negative,Engaging with the bakery makes me feel very pointless.
6823,মই লেপটপৰ প্ৰতিক্ৰিয়া লৈ যথেষ্ট বেহুদা; সেয়া দুখজনক।,negative,I'm quite pointless with the response of this laptop; it's unfortunate.
6824,এই গান এলবামৰ কাহিনী খুব অতি বেয়া আৰু মই হতাশ।,negative,The story of this music album is very very bad and I'm disappointed.
6825,মই অ্যাপৰ গতি লৈ যথেষ্ট অখুশী; সেয়া দুখজনক।,negative,I'm quite unhappy with the speed of this app; it's unfortunate.
6826,এই অ্যাপ শিলচৰত সৰ্বাধিক অতি বেয়া অভিজ্ঞতা দিছে।,negative,This app gave the most very bad experience in Silchar.
6827,এই খেলা ম্যাচৰ কাৰ্যক্ষমতা খুব বেয়া আৰু মই হতাশ।,negative,The performance of this sports match is very bad and I'm disappointed.
6828,মই ৰেষ্টুৰাণ্টৰ প্ৰতিক্ৰিয়া লৈ যথেষ্ট নিম্ন মান; সেয়া দুখজনক।,negative,I'm quite low quality with the response of this restaurant; it's unfortunate.
6829,এই ট্ৰেইন সেৱাৰ পৰিস্কাৰ-চোঙা খুব অধিক মূল্য আৰু মই হতাশ।,negative,The cleanliness of this train service is very overpriced and I'm disappointed.
6830,এই কফি দোকান যোৰহাটত সৰ্বাধিক হতাশাজনক অভিজ্ঞতা দিছে।,negative,This coffee shop gave the most disappointing experience in Jorhat.
6831,এই সাধাৰণ সেৱাৰ প্ৰতিক্ৰিয়া দুঃখজনক; মই পুনৰ নাযাম।,negative,The response of this service is sad; I won't go again.
6832,এই মুভি বেয়া আৰু সময় নষ্ট।,negative,This movie is bad and a waste of time.
6833,এই ট্ৰেইন সেৱাৰ মান হতাশাজনক; মই পুনৰ নাযাম।,negative,The quality of this train service is disappointing; I won't go again.
6834,এই খেলা ম্যাচ মুম্বাইত সৰ্বাধিক অখুশী অভিজ্ঞতা দিছে।,negative,This sports match gave the most unhappy experience in Mumbai.
6835,এই বইৰ কাৰ্যক্ষমতা খুব বেহুদা আৰু মই হতাশ।,negative,The performance of this book is very pointless and I'm disappointed.
6836,এই ফোন নিম্ন মান আৰু সময় নষ্ট।,negative,This phone is low quality and a waste of time.
6837,এই ভ্ৰমণ অতি বেয়া আৰু সময় নষ্ট।,negative,This trip is very bad and a waste of time.
6838,মই লেপটপ উপভোগ কৰি খুব হতাশাজনক অনুভৱ কৰিছোঁ।,negative,Engaging with the laptop makes me feel very disappointing.
6839,এই সাধাৰণ সেৱা যোৰহাটত সৰ্বাধিক ধীৰ অভিজ্ঞতা দিছে।,negative,This service gave the most slow experience in Jorhat.
6840,এই ফোনৰ কাৰ্যক্ষমতা খুব অখুশী আৰু মই হতাশ।,negative,The performance of this phone is very unhappy and I'm disappointed.
6841,এই বই মুম্বাইত সৰ্বাধিক বিরক্তিকৰ অভিজ্ঞতা দিছে।,negative,This book gave the most annoying experience in Mumbai.
6842,এই খেল যোৰহাটত সৰ্বাধিক হতাশাজনক অভিজ্ঞতা দিছে।,negative,This game gave the most disappointing experience in Jorhat.
6843,এই গান এলবাম বেহুদা আৰু সময় নষ্ট।,negative,This music album is pointless and a waste of time.
6844,মই ভ্ৰমণৰ সময়সূচী লৈ যথেষ্ট বেয়া; সেয়া দুখজনক।,negative,I'm quite bad with the schedule of this trip; it's unfortunate.
6845,এই খেলা ম্যাচ অতি বেয়া আৰু সময় নষ্ট।,negative,This sports match is very bad and a waste of time.
6846,এই উৎসৱ অখুশী আৰু সময় নষ্ট।,negative,This festival is unhappy and a waste of time.
6847,এই ট্ৰেইন সেৱা অখুশী আৰু সময় নষ্ট।,negative,This train service is unhappy and a waste of time.
6848,এই ট্ৰেইন সেৱাৰ সুবিধা অখুশী; মই পুনৰ নাযাম।,negative,The convenience of this train service is unhappy; I won't go again.
6849,এই কফি দোকান গুৱাহাটীত সৰ্বাধিক ধীৰ অভিজ্ঞতা দিছে।,negative,This coffee shop gave the most slow experience in Guwahati.
6850,এই সাধাৰণ সেৱাৰ মূল্য অখুশী; মই পুনৰ নাযাম।,negative,The price of this service is unhappy; I won't go again.
6851,এই বইৰ সুবিধা হতাশাজনক; মই পুনৰ নাযাম।,negative,The convenience of this book is disappointing; I won't go again.
6852,মই অনলাইন দোকানৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই বেয়া।,negative,I had a bad experience with the online shop; it is bad.
6853,এই বেকাৰী মুম্বাইত সৰ্বাধিক অধিক মূল্য অভিজ্ঞতা দিছে।,negative,This bakery gave the most overpriced experience in Mumbai.
6854,এই কফি দোকানৰ পৰিস্কাৰ-চোঙা অখুশী; মই পুনৰ নাযাম।,negative,The cleanliness of this coffee shop is unhappy; I won't go again.
6855,এই বেংক সেৱাৰ গতি খুব নিম্ন মান আৰু মই হতাশ।,negative,The speed of this bank service is very low quality and I'm disappointed.
6856,মই অ্যাপৰ বিষয়ে বেয়া অভিজ্ঞতা পাইছোঁ; ই ধীৰ।,negative,I had a bad experience with the app; it is slow.
6857,এই বেংক সেৱাৰ পৰিস্কাৰ-চোঙা হতাশাজনক; মই পুনৰ নাযাম।,negative,The cleanliness of this bank service is disappointing; I won't go again.
6858,এই কফি দোকানৰ মান দুঃখজনক; মই পুনৰ নাযাম।,negative,The quality of this coffee shop is sad; I won't go again.
6859,মই খানা উপভোগ কৰি খুব হতাশাজনক অনুভৱ কৰিছোঁ।,negative,Engaging with the food item makes me feel very disappointing.
6860,এই গান এলবাম টিনিচুকিয়াত সৰ্বাধিক অধিক মূল্য অভিজ্ঞতা দিছে।,negative,This music album gave the most overpriced experience in Tinsukia.
6861,মই বাচ সেৱাৰ মান লৈ যথেষ্ট নিম্ন মান; সেয়া দুখজনক।,negative,I'm quite low quality with the quality of this bus service; it's unfortunate.
6862,এই হোটেল মোৰ আশাতকৈ অধিক বেহুদা।,negative,This hotel is more pointless than I expected.
6863,এই অ্যাপৰ মান বিরক্তিকৰ; মই পুনৰ নাযাম।,negative,The quality of this app is annoying; I won't go again.
6864,এই গান এলবাম বেংগালুরুত সৰ্বাধিক দুঃখজনক অভিজ্ঞতা দিছে।,negative,This music album gave the most sad experience in Bangalore.
6865,এই বেকাৰী যোৰহাটত সৰ্বাধিক অতি বেয়া অভিজ্ঞতা দিছে।,negative,This bakery gave the most very bad experience in Jorhat.
6866,এই ফোনৰ সেৱা খুব বেয়া আৰু মই হতাশ।,negative,The service of this phone is very bad and I'm disappointed.
6867,মই লেপটপৰ মূল্য লৈ যথেষ্ট অস্বস্তিকৰ; সেয়া দুখজনক।,negative,I'm quite uncomfortable with the price of this laptop; it's unfortunate.
6868,এই কেমেৰাৰ সুবিধা অস্বস্তিকৰ; মই পুনৰ নাযাম।,negative,The convenience of this camera is uncomfortable; I won't go again.
6869,এই অনলাইন দোকান মোৰ আশাতকৈ অধিক হতাশাজনক।,negative,This online shop is more disappointing than I expected.
6870,এই ৰেষ্টুৰাণ্ট বিরক্তিকৰ আৰু সময় নষ্ট।,negative,This restaurant is annoying and a waste of time.
6871,মই গান এলবাম উপভোগ কৰি খুব বেয়া অনুভৱ কৰিছোঁ।,negative,Engaging with the music album makes me feel very bad.
6872,এই ট্ৰেইন সেৱাৰ পৰিস্কাৰ-চোঙা খুব অস্বস্তিকৰ আৰু মই হতাশ।,negative,The cleanliness of this train service is very uncomfortable and I'm disappointed.
6873,এই কফি দোকান মুম্বাইত সৰ্বাধিক দুঃখজনক অভিজ্ঞতা দিছে।,negative,This coffee shop gave the most sad experience in Mumbai.
6874,এই কেমেৰা মুম্বাইত সৰ্বাধিক বেহুদা অভিজ্ঞতা দিছে।,negative,This camera gave the most pointless experience in Mumbai.
6875,এই সাধাৰণ সেৱাৰ সুবিধা হতাশাজনক; মই পুনৰ নাযাম।,negative,The convenience of this service is disappointing; I won't go again.
6876,মই হোটেল উপভোগ কৰি খুব নিম্ন মান অনুভৱ কৰিছোঁ।,negative,Engaging with the hotel makes me feel very low quality.
6877,এই হোটেলৰ সুবিধা খুব ধীৰ আৰু মই হতাশ।,negative,The convenience of this hotel is very slow and I'm disappointed.
6878,এই ফোন বেংগালুরুত সৰ্বাধিক বেয়া অভিজ্ঞতা দিছে।,negative,This phone gave the most bad experience in Bangalore.
6879,এই বাচ সেৱা মোৰ আশাতকৈ অধিক বেহুদা।,negative,This bus service is more pointless than I expected.
6880,এই খেলা ম্যাচ গুৱাহাটীত সৰ্বাধিক অস্বস্তিকৰ অভিজ্ঞতা দিছে।,negative,This sports match gave the most uncomfortable experience in Guwahati.
